Designator,Footprint,Quantity,Value,LCSC Part #
AE2,2.4GHz_Left_PC_ABS,1,Antenna_Shield,
C1,0201,1,1.5pF,
"C10, C12, C14, C15, C44, C5, C7",0603,7,4.7uF,
"C16, C18",0402,2,1uF,
C17,0201,1,3.9pF,
"C19, C28",0201,2,2.2uF,
C2,0201,1,2pF,
"C20, C21, C22, C25",0201,4,100nF,
C23,0201,1,2.2nF,
C24,0402,1,0.1uF,
"C26, C29, C30",0402,3,10uF,
C27,0201,1,10nF,
"C3, C6, C9",0603,3,1uF,
C8,0201,1,0.3pF,
"D1, D2, D3",D_SOD-323,3,1N5819WS,
FB1,0201,1,FerriteBead,
J1,HRS_FH34SRJ-24S-0.5SH_50_,1,FH34SRJ-24S-0.5SH_50_,
J2,USB_C_SHOU_HAN_6P,1,USB_C_Receptacle_PowerOnly_6P,
J3,BATTERY_HC-1.2-2PWT,1,BATTERY,
J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J5, J6",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
L1,0201,1,2.7nH,
"L2, L3",0201,2,3.5nH,
L4,L_Cenker_CKCS3012,1,47uH,
L5,0603,1,4.7uH,
Q1,SOT-323_SC-70,1,Si1308EDL,
R1,0402,1,2.2,
"R10, R7",0402,2,10k,
"R2, R4",0402,2,5.1k,
R3,0402,1,1M,
R5,0201,1,1k,
R6,0402,1,5.4k,
R8,0402,1,2k,
R9,0402,1,100,
U1,DFN1006-2,1,ESD5451N,
U2,IC_BQ24045DSQR,1,BQ24040DSQR,
U3,QFN40P600X600X90-49N,1,NRF54L15-QFAA-R,
U4,UDFN-4-1EP_1x1mm_P0.65mm_EP0.48x0.48mm,1,FH8614G1,
U6,SOT-23-3,1,GR6206P332MR-G,
Y2,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,Crystal_GND24,
