Designator,Mid X,Mid Y,Rotation,Layer
C1,127.037424,-111.844873,0.0,top
C10,150.24,-113.585,270.0,top
C12,148.7,-113.565,270.0,top
C14,164.61,-119.625,270.0,top
C15,157.55,-117.125,90.0,top
C16,130.143394,-89.877363,270.0,top
C17,126.905,-110.528164,180.0,top
C18,130.143394,-91.777363,90.0,top
C19,132.0,-115.138164,0.0,top
C2,125.139174,-111.076953,90.0,top
C20,127.27,-115.048164,90.0,top
C21,135.21,-109.248164,270.0,top
C22,133.74,-115.108164,180.0,top
C23,126.905,-112.408164,180.0,top
C24,140.853394,-91.227363,90.0,top
C25,130.01307,-106.831574,270.0,top
C26,135.31,-116.318164,90.0,top
C27,130.88,-115.463164,270.0,top
C28,130.16,-117.253164,90.0,top
C29,133.030894,-99.257363,270.0,top
C3,145.72,-113.325,270.0,top
C30,138.130894,-98.257363,270.0,top
C44,167.4775,-122.91,180.0,top
C5,157.38,-113.53,270.0,top
C6,151.7,-113.605,270.0,top
C7,147.21,-113.585,270.0,top
C8,123.486084,-111.743273,270.0,top
C9,153.18,-113.605,270.0,top
D1,167.1475,-121.21,180.0,top
D2,167.1375,-117.35,180.0,top
D3,167.1975,-119.29,0.0,top
FB1,130.91,-117.243164,90.0,top
J1,154.693394,-109.817363,180.0,top
J2,164.97422,-89.478574,90.0,top
J3,135.153394,-91.477363,0.0,top
J4,150.313394,-99.802363,90.0,top
J5,126.903394,-101.134863,270.0,top
J6,141.433164,-105.967363,90.0,top
L1,127.067484,-111.336873,180.0,top
L2,125.965004,-111.336873,180.0,top
L3,124.309174,-111.336873,180.0,top
L4,161.46,-120.09,0.0,top
L5,133.3,-116.778164,180.0,top
Q1,160.12,-116.28,270.0,top
R1,159.1,-114.08,0.0,top
R10,131.87477,-105.4,0.0,top
R2,161.93422,-86.578574,270.0,top
R3,161.16,-114.08,180.0,top
R4,161.97422,-83.788574,90.0,top
R5,126.905,-109.828164,0.0,top
R6,128.743394,-88.347363,270.0,top
R7,128.843394,-93.247363,270.0,top
R8,127.743394,-88.367363,90.0,top
R9,139.253394,-91.677363,180.0,top
U1,160.61,-87.67,90.0,top
U2,128.343394,-90.807363,270.0,top
U3,131.25,-111.138164,180.0,top
U4,140.163394,-93.602363,0.0,top
U6,135.593394,-98.707363,0.0,top
Y2,125.249174,-115.126953,270.0,top
