Designator,Footprint,Quantity,Value,LCSC Part #
AE1,2.4GHz_Left_Soldermask,1,Antenna_Shield,
C1,0201,1,1.5pF,
"C10, C11, C37, C38, C39, C41, C5, C6, C7, C9",0603,10,10uF,
C12,0402,1,470nF,
C13,0402,1,100nF,
"C14, C31",0402,2,2.2uF,
"C15, C16, C18, C32, C33, C34, C35",0402,7,1uF,
C17,0201,1,3.9pF,
"C19, C28",0201,2,2.2uF,
C2,0201,1,2pF,
"C20, C21, C22, C25",0201,4,100nF,
C23,0201,1,2.2nF,
C24,0402,1,0.1uF,
"C26, C29, C30",0402,3,10uF,
C27,0201,1,10nF,
"C3, C36, C40",0402,3,4.7uF,
C4,0402,1,0.47uF,
C8,0201,1,0.3pF,
"D1, D2, D3, D4",D_SOD-123,4,MBR0530,
FB1,0201,1,FerriteBead,
"J1, J5",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
J2,USB_C_SHOU_HAN_6P,1,USB_C_Receptacle_PowerOnly_6P,
J3,BATTERY_HC-1.2-2PWT,1,BATTERY,
J4,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J7,HRS_FH34SRJ-50S-0.5SH_50_,1,FH34SRJ-50S-0.5SH_50_,
L1,0201,1,2.7nH,
"L2, L3",0201,2,3.5nH,
"L4, L6",L_Changjiang_FNR4012S,2,10uH,
L5,0603,1,4.7uH,
Q1,SOT95P237X111-3N,1,BSS138LT1G,
Q2,SOT-23,1,SI2301CDS-T1-GE3,
"R1, R15",0402,2,1M,
"R10, R11, R2, R4",0402,4,5.1k,
"R12, R17, R18, R7",0402,4,10k,
R13,0402,1,0.01,
R14,0402,1,0,
"R16, R3",0402,2,0.2,
R5,0201,1,1k,
R6,0402,1,5.4k,
R8,0402,1,2k,
R9,0402,1,100,
U1,DFN1006-2,1,ESD5451N,
U2,IC_BQ24045DSQR,1,BQ24040DSQR,
U3,QFN40P600X600X90-49N,1,NRF54L15-QFAA-R,
U4,UDFN-4-1EP_1x1mm_P0.65mm_EP0.48x0.48mm,1,FH8614G1,
U5,BGA9C50P3X3_158X162X62,1,BQ27220YZFR,
U6,SOT-23-3,1,GR6206P332MR-G,
U7,ZD25WQ80CEIGR ,1,ZD25WQ80C,
Y2,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,Crystal_GND24,
