Designator,Mid X,Mid Y,Rotation,Layer
C1,130.00518,-103.47951,0.0,top
C10,133.91,-84.37,90.0,top
C11,132.45,-84.38,90.0,top
C12,120.69,-83.79,90.0,top
C13,126.2,-83.82,270.0,top
C14,127.17,-83.81,90.0,top
C15,125.24,-83.79,90.0,top
C16,154.28,-100.08,270.0,top
C17,129.872756,-102.162801,180.0,top
C18,154.29,-102.0,90.0,top
C19,134.95,-106.78,0.0,top
C2,128.10693,-102.71159,90.0,top
C20,130.237756,-106.682801,90.0,top
C21,138.16,-100.89,270.0,top
C22,136.69,-106.75,180.0,top
C23,129.872756,-104.042801,180.0,top
C24,161.88,-94.01,0.0,top
C25,132.8,-98.475,270.0,top
C26,138.26,-107.96,90.0,top
C27,133.83,-107.105,270.0,top
C28,133.11,-108.895,90.0,top
C29,155.13,-105.5,0.0,top
C3,145.35,-83.85,270.0,top
C30,154.97,-110.65,180.0,top
C31,146.77,-103.32,0.0,top
C32,148.66,-103.38,0.0,top
C33,124.3,-83.78,270.0,top
C34,123.36,-83.78,90.0,top
C35,122.4,-83.78,270.0,top
C36,146.76,-97.1375,0.0,top
C37,147.04,-88.3375,270.0,top
C38,142.26,-88.3775,270.0,top
C39,146.64,-95.4375,180.0,top
C4,144.35,-83.85,270.0,top
C40,139.8,-95.58,90.0,top
C41,138.16,-87.45,90.0,top
C5,139.81,-84.41,270.0,top
C6,138.33,-84.4,90.0,top
C7,136.87,-84.37,90.0,top
C8,126.45384,-103.37791,270.0,top
C9,135.39,-84.37,90.0,top
D1,147.04,-92.1875,90.0,top
D2,142.24,-92.2375,90.0,top
D3,144.64,-92.1875,90.0,top
D4,134.9,-87.5,0.0,top
FB1,133.86,-108.885,90.0,top
J1,142.0,-111.5,180.0,top
J2,167.87,-81.22,90.0,top
J3,164.45,-99.57,270.0,top
J4,134.12,-72.45,270.0,top
J5,123.32,-92.86,270.0,top
J6,150.45,-113.49,270.0,top
J7,132.9,-80.62,180.0,top
L1,130.03524,-102.97151,180.0,top
L2,128.93276,-102.97151,180.0,top
L3,127.27693,-102.97151,180.0,top
L4,134.9,-90.9,180.0,top
L5,136.25,-108.42,180.0,top
L6,150.54,-95.1375,90.0,top
Q1,150.54,-91.0775,180.0,top
Q2,136.7275,-95.31,0.0,top
R1,151.54,-88.0375,90.0,top
R10,145.3,-106.27,270.0,top
R11,145.29,-104.38,90.0,top
R12,147.88,-108.0,0.0,top
R13,149.93,-105.7,270.0,top
R14,143.63,-95.3175,0.0,top
R15,138.11,-92.23,270.0,top
R16,138.12,-90.34,90.0,top
R17,145.99,-108.4,180.0,top
R18,150.6,-101.2,270.0,top
R2,164.83,-78.32,270.0,top
R3,148.94,-88.0375,270.0,top
R4,164.87,-75.53,90.0,top
R5,129.872756,-101.462801,0.0,top
R6,153.07,-98.5225,270.0,top
R7,153.3,-103.66,270.0,top
R8,152.07,-98.5325,90.0,top
R9,163.82,-94.01,0.0,top
U1,163.11,-80.32,90.0,top
U2,152.5,-101.14,270.0,top
U3,134.2,-102.78,180.0,top
U4,162.83,-92.705,180.0,top
U5,147.63,-105.66,90.0,top
U6,154.61,-108.0275,270.0,top
U7,194.475,-113.5,0.0,top
Y2,128.21693,-106.76159,270.0,top
