Designator,Mid X,Mid Y,Rotation,Layer
C1_2,116.318701,-77.408204,270.0,top
C1,189.72951,-110.17982,90.0,top
C10_2,114.578574,-100.61078,180.0,top
C10,170.62,-106.275,180.0,top
C11,170.63,-107.735,180.0,top
C12_2,114.598574,-99.07078,180.0,top
C12,170.04,-119.495,180.0,top
C13,170.07,-113.985,0.0,top
C14_2,108.538574,-114.98078,180.0,top
C14,170.06,-113.015,180.0,top
C15_2,111.038574,-107.92078,0.0,top
C15,170.04,-114.945,180.0,top
C16_2,138.286211,-80.514174,180.0,top
C16,186.33,-85.905,0.0,top
C17_2,117.63541,-77.27578,90.0,top
C17,188.412801,-110.312244,270.0,top
C18_2,136.386211,-80.514174,0.0,top
C18,188.25,-85.895,180.0,top
C19_2,113.02541,-82.37078,270.0,top
C19,193.03,-105.235,90.0,top
C2_2,117.086621,-75.509954,0.0,top
C2,188.96159,-112.07807,180.0,top
C20_2,113.11541,-77.64078,0.0,top
C20,192.932801,-109.947244,180.0,top
C21_2,118.91541,-85.58078,180.0,top
C21,187.14,-102.025,0.0,top
C22_2,113.05541,-84.11078,90.0,top
C22,193.0,-103.495,270.0,top
C23_2,115.75541,-77.27578,90.0,top
C23,190.292801,-110.312244,270.0,top
C24_2,136.936211,-91.224174,0.0,top
C24,180.26,-78.305,90.0,top
C25_2,121.332,-80.38385,180.0,top
C25,184.725,-107.385,0.0,top
C26_2,111.84541,-85.68078,0.0,top
C26,194.21,-101.925,180.0,top
C27_2,112.70041,-81.25078,180.0,top
C27,193.355,-106.355,0.0,top
C28_2,110.91041,-80.53078,0.0,top
C28,195.145,-107.075,180.0,top
C29_2,128.906211,-83.401674,180.0,top
C29,191.75,-85.055,90.0,top
C3_2,114.838574,-96.09078,180.0,top
C3,170.1,-94.835,0.0,top
C30_2,129.906211,-88.501674,180.0,top
C30,196.9,-85.215,270.0,top
C31,189.57,-93.415,90.0,top
C32,189.63,-91.525,90.0,top
C33,170.03,-115.885,0.0,top
C34,170.03,-116.825,180.0,top
C35,170.03,-117.785,0.0,top
C36,183.3875,-93.425,90.0,top
C37,174.5875,-93.145,0.0,top
C38,174.6275,-97.925,0.0,top
C39,181.6875,-93.545,270.0,top
C4,170.1,-95.835,0.0,top
C40,181.83,-100.385,180.0,top
C41,173.7,-102.025,180.0,top
C44,105.253574,-117.84828,90.0,top
C5_2,114.633574,-107.75078,180.0,top
C5,170.66,-100.375,0.0,top
C6_2,114.558574,-102.07078,180.0,top
C6,170.65,-101.855,180.0,top
C7_2,114.578574,-97.58078,180.0,top
C7,170.62,-103.315,180.0,top
C8_2,116.420301,-73.856864,180.0,top
C8,189.62791,-113.73116,0.0,top
C9_2,114.558574,-103.55078,180.0,top
C9,170.62,-104.795,180.0,top
D1_2,106.953574,-117.51828,90.0,top
D1,178.4375,-93.145,180.0,top
D2_2,110.813574,-117.50828,90.0,top
D2,178.4875,-97.945,180.0,top
D3_2,108.873574,-117.56828,270.0,top
D3,178.4375,-95.545,180.0,top
D4,173.75,-105.285,90.0,top
FB1_2,110.92041,-81.28078,0.0,top
FB1,195.135,-106.325,180.0,top
J1_2,118.346211,-105.064174,90.0,top
J1,197.75,-98.185,270.0,top
J2_2,138.685,-115.345,0.0,top
J2,167.47,-72.315,180.0,top
J3_2,136.686211,-85.524174,270.0,top
J3,185.82,-75.735,0.0,top
J4_2,128.361211,-100.684174,0.0,top
J4,158.7,-106.065,0.0,top
J5_2,127.028711,-77.274174,180.0,top
J5,179.11,-116.865,0.0,top
J6_2,122.196211,-91.803944,0.0,top
J6,199.74,-89.735,0.0,top
J7,166.87,-107.285,270.0,top
L1_2,116.826701,-77.438264,90.0,top
L1,189.22151,-110.14976,270.0,top
L2_2,116.826701,-76.335784,90.0,top
L2,189.22151,-111.25224,270.0,top
L3_2,116.826701,-74.679954,90.0,top
L3,189.22151,-112.90807,270.0,top
L4_2,108.073574,-111.83078,270.0,top
L4,177.15,-105.285,270.0,top
L5_2,111.38541,-83.67078,90.0,top
L5,194.67,-103.935,270.0,top
L6,181.3875,-89.645,180.0,top
MOUSE-BITE-3MM-SLOT_3,153.06,-73.323,90.0,top
MOUSE-BITE-3MM-SLOT_2,153.08,-102.257,90.0,top
MOUSE-BITE-3MM-SLOT,153.06,-87.503,90.0,top
Q1_2,111.883574,-110.49078,180.0,top
Q1,177.3275,-89.645,270.0,top
Q2,181.56,-103.4575,90.0,top
R1_2,114.083574,-109.47078,270.0,top
R1,174.2875,-88.645,180.0,top
R10_2,122.763574,-82.24555,270.0,top
R10,192.52,-94.885,0.0,top
R11,190.63,-94.895,180.0,top
R12,194.25,-92.305,90.0,top
R13,191.95,-90.255,0.0,top
R14,181.5675,-96.555,90.0,top
R15,178.48,-102.075,0.0,top
